,brent,crude,gasoline,heating,gas,natural,type
0,0.04893042976923046,0.06521095287785472,0.09578370917132006,0.034869326283632,0.027472993560027064,0.02405351124540667,generated
1,-0.02202729124063926,-0.029651298358169653,-0.024885166200631068,-0.01584890951651135,-0.009859722242311755,0.005953477931294585,generated
2,0.0007709282611072906,0.012194400221827769,-0.0001550573583799426,-0.004690251366114038,-0.0006835634765524632,-0.0018445738061272875,generated
3,0.0006124773667572656,0.010183849894812235,-0.0018896768550324158,0.002435471203570279,0.002511193570205208,0.005670048817739607,generated
4,-0.014082636063488084,-0.019366397024058575,-0.015224440717672826,-0.020965298396267915,-0.011327670597636829,-0.03799137902701687,generated
5,-0.010541591417267144,-0.006458778082441535,-0.015327463442768372,-0.011119881399532761,-0.004610593927369191,0.01624615675471517,generated
6,-0.012485747787627703,-0.01765897300808502,-0.007455929057147872,-0.010268377603061735,-0.012237076730941621,0.004143901152981258,generated
7,-0.0073554762794118085,-0.010375104046277213,-0.0036444173341054153,-0.00951230920058566,0.00876423252767128,0.008573765822491948,generated
8,-0.014755568433566174,-0.014327489903291168,-0.010376433140411628,-0.017102666775540648,-0.006165852644265731,-0.0008771766876173901,generated
9,0.01449958587210434,0.008747777174748431,0.003603185704484129,0.012791689875600247,0.02910155243126393,-0.007609235030899086,generated
10,-0.012386882396820398,0.00028393618278951013,-0.006833891386856056,0.00011590758346137557,-0.00818875113675777,-0.04056724209546567,generated
11,0.02029961992904771,0.023916792990170417,0.010274500629156559,0.01230184672606709,0.01709788146831838,0.005769912565086733,generated
12,-0.008185402364312505,-0.007286209654075026,-0.006452781054177394,-0.004529396874262755,-0.010106012579072433,-0.020620505022861293,generated
13,-0.015015989066965225,-0.013790524152723168,-0.033445044584041614,-0.02173680880293975,-0.003144858506093769,0.008665608534396164,generated
14,-0.021001914382313476,-0.00559576925642284,-0.006294592888586814,-0.018756002498014974,-0.008827426056410808,0.03233547449019359,generated
